iter	Passed	Remaining
0	74	74119
1	83	41659
2	90	30223
3	97	24395
4	104	20806
5	111	18390
6	117	16604
7	123	15327
8	129	14309
9	135	13448
10	141	12750
11	147	12176
12	154	11717
13	161	11353
14	167	10987
15	173	10673
16	179	10392
17	185	10138
18	191	9910
19	200	9803
20	207	9685
21	215	9568
22	221	9412
23	229	9350
24	238	9303
25	245	9182
26	251	9056
27	257	8939
28	263	8829
29	269	8723
30	275	8626
31	281	8528
32	288	8443
33	294	8367
34	301	8305
35	307	8242
36	313	8171
37	321	8140
38	328	8096
39	335	8049
40	341	7990
41	347	7937
42	353	7875
43	360	7827
44	366	7772
45	372	7730
46	378	7683
47	385	7640
48	390	7575
49	397	7545
50	404	7522
51	412	7511
52	419	7498
53	425	7452
54	430	7404
55	436	7350
56	441	7304
57	447	7262
58	452	7219
59	458	7179
60	464	7143
61	470	7115
62	476	7083
63	481	7044
64	486	7001
65	492	6966
66	497	6929
67	502	6893
68	508	6858
69	514	6829
70	519	6797
71	525	6771
72	531	6747
73	536	6717
74	542	6688
75	547	6659
76	552	6625
77	558	6600
78	563	6573
79	569	6547
80	574	6523
81	579	6492
82	585	6463
83	590	6434
84	596	6418
85	602	6403
86	608	6390
87	614	6372
88	620	6354
89	626	6333
90	631	6311
91	637	6290
92	642	6264
93	647	6239
94	652	6217
95	658	6197
96	663	6176
97	668	6152
98	673	6129
99	678	6106
100	683	6085
101	688	6062
102	693	6042
103	698	6020
104	704	6003
105	710	5989
106	715	5967
107	720	5950
108	725	5930
109	730	5913
110	736	5898
111	741	5881
112	747	5864
113	752	5847
114	757	5832
115	763	5816
116	768	5798
117	773	5782
118	778	5765
119	783	5748
120	789	5732
121	795	5724
122	801	5714
123	806	5700
124	813	5694
125	819	5686
126	825	5672
127	832	5670
128	838	5659
129	844	5649
130	849	5635
131	855	5622
132	860	5607
133	865	5595
134	871	5582
135	876	5567
136	881	5553
137	886	5538
138	891	5523
139	897	5511
140	902	5498
141	907	5486
142	913	5472
143	918	5460
144	924	5449
145	929	5436
146	934	5424
147	940	5411
148	945	5400
149	951	5389
150	956	5375
151	961	5364
152	966	5350
153	972	5339
154	977	5328
155	982	5315
156	987	5302
157	993	5295
158	999	5284
159	1004	5276
160	1010	5264
161	1015	5250
162	1020	5238
163	1026	5234
164	1032	5222
165	1037	5212
166	1043	5202
167	1048	5190
168	1053	5178
169	1058	5166
170	1063	5156
171	1069	5146
172	1074	5136
173	1079	5123
174	1084	5112
175	1089	5103
176	1095	5092
177	1100	5082
178	1105	5072
179	1114	5075
180	1130	5113
181	1137	5112
182	1143	5104
183	1149	5096
184	1155	5091
185	1161	5081
186	1168	5080
187	1173	5069
188	1178	5058
189	1183	5046
190	1189	5036
191	1195	5031
192	1201	5025
193	1208	5019
194	1213	5008
195	1220	5004
196	1225	4994
197	1230	4985
198	1236	4977
199	1241	4967
200	1247	4958
201	1252	4948
202	1257	4937
203	1263	4928
204	1268	4920
205	1274	4911
206	1279	4901
207	1284	4892
208	1290	4884
209	1295	4874
210	1300	4864
211	1306	4854
212	1311	4845
213	1316	4836
214	1322	4826
215	1327	4817
216	1332	4806
217	1337	4797
218	1342	4788
219	1347	4778
220	1352	4769
221	1358	4760
222	1363	4751
223	1368	4741
224	1373	4731
225	1379	4723
226	1384	4714
227	1390	4708
228	1396	4700
229	1401	4691
230	1406	4681
231	1412	4675
232	1417	4665
233	1422	4656
234	1427	4647
235	1432	4637
236	1437	4627
237	1442	4617
238	1447	4607
239	1452	4598
240	1457	4590
241	1462	4581
242	1467	4572
243	1472	4563
244	1477	4553
245	1482	4544
246	1487	4535
247	1492	4526
248	1497	4517
249	1503	4509
250	1508	4501
251	1513	4493
252	1518	4484
253	1524	4476
254	1528	4466
255	1533	4457
256	1539	4449
257	1543	4440
258	1549	4431
259	1554	4424
260	1559	4416
261	1564	4407
262	1569	4398
263	1574	4390
264	1580	4382
265	1586	4376
266	1591	4369
267	1597	4362
268	1601	4353
269	1607	4346
270	1612	4337
271	1617	4328
272	1622	4320
273	1627	4311
274	1632	4303
275	1637	4295
276	1642	4287
277	1648	4280
278	1653	4272
279	1658	4264
280	1663	4255
281	1668	4248
282	1673	4240
283	1679	4233
284	1683	4224
285	1689	4217
286	1694	4209
287	1699	4200
288	1704	4192
289	1709	4184
290	1714	4177
291	1719	4168
292	1724	4161
293	1729	4153
294	1734	4146
295	1739	4138
296	1744	4130
297	1749	4122
298	1755	4115
299	1760	4108
300	1765	4100
301	1771	4093
302	1776	4086
303	1782	4081
304	1788	4076
305	1793	4068
306	1799	4061
307	1804	4054
308	1810	4048
309	1816	4042
310	1821	4035
311	1826	4027
312	1831	4019
313	1836	4012
314	1841	4005
315	1846	3997
316	1852	3990
317	1857	3983
318	1862	3976
319	1867	3968
320	1872	3960
321	1878	3954
322	1883	3946
323	1888	3940
324	1894	3934
325	1900	3930
326	1906	3923
327	1912	3917
328	1917	3910
329	1922	3903
330	1927	3896
331	1932	3888
332	1938	3882
333	1943	3874
334	1948	3867
335	1953	3860
336	1958	3853
337	1963	3845
338	1968	3838
339	1974	3833
340	1980	3827
341	1986	3822
342	1991	3815
343	1997	3808
344	2002	3801
345	2007	3794
346	2012	3786
347	2017	3779
348	2022	3772
349	2028	3766
350	2033	3759
351	2037	3751
352	2042	3743
353	2047	3736
354	2052	3729
355	2057	3722
356	2062	3714
357	2067	3707
358	2073	3701
359	2078	3694
360	2083	3687
361	2088	3681
362	2093	3674
363	2098	3667
364	2103	3660
365	2109	3653
366	2114	3647
367	2119	3640
368	2124	3633
369	2129	3626
370	2135	3619
371	2140	3613
372	2145	3606
373	2150	3599
374	2156	3593
375	2160	3586
376	2165	3579
377	2170	3572
378	2176	3566
379	2182	3561
380	2188	3555
381	2193	3549
382	2198	3542
383	2204	3535
384	2209	3528
385	2214	3522
386	2219	3515
387	2224	3509
388	2230	3503
389	2235	3496
390	2241	3490
391	2246	3484
392	2251	3477
393	2256	3470
394	2261	3463
395	2266	3457
396	2271	3450
397	2277	3444
398	2282	3437
399	2287	3430
400	2293	3426
401	2301	3423
402	2309	3421
403	2315	3416
404	2322	3412
405	2328	3407
406	2335	3402
407	2341	3397
408	2347	3392
409	2353	3386
410	2359	3381
411	2365	3376
412	2373	3373
413	2381	3370
414	2387	3364
415	2392	3358
416	2398	3353
417	2404	3347
418	2410	3342
419	2416	3336
420	2420	3329
421	2426	3322
422	2431	3316
423	2436	3310
424	2441	3303
425	2446	3296
426	2451	3290
427	2456	3283
428	2462	3277
429	2467	3270
430	2472	3264
431	2477	3257
432	2482	3251
433	2487	3244
434	2492	3237
435	2497	3230
436	2502	3224
437	2508	3218
438	2513	3212
439	2518	3205
440	2523	3199
441	2529	3192
442	2534	3186
443	2539	3179
444	2544	3173
445	2549	3166
446	2554	3159
447	2559	3153
448	2565	3147
449	2570	3142
450	2576	3136
451	2582	3130
452	2587	3123
453	2592	3117
454	2597	3111
455	2602	3104
456	2607	3098
457	2612	3091
458	2617	3085
459	2622	3078
460	2627	3072
461	2632	3065
462	2637	3058
463	2641	3051
464	2647	3045
465	2652	3039
466	2657	3032
467	2662	3026
468	2667	3020
469	2672	3014
470	2678	3007
471	2683	3001
472	2688	2995
473	2693	2988
474	2698	2982
475	2703	2975
476	2708	2969
477	2713	2963
478	2718	2957
479	2723	2950
480	2728	2944
481	2734	2938
482	2739	2932
483	2744	2926
484	2749	2919
485	2754	2913
486	2759	2906
487	2764	2900
488	2770	2895
489	2776	2889
490	2782	2884
491	2787	2878
492	2792	2871
493	2798	2866
494	2804	2860
495	2809	2854
496	2814	2847
497	2819	2841
498	2824	2835
499	2829	2829
500	2834	2823
501	2839	2816
502	2844	2810
503	2850	2804
504	2855	2798
505	2860	2792
506	2865	2786
507	2870	2779
508	2875	2773
509	2880	2767
510	2886	2761
511	2891	2756
512	2897	2750
513	2901	2743
514	2907	2737
515	2912	2732
516	2917	2725
517	2922	2719
518	2928	2713
519	2932	2707
520	2938	2701
521	2943	2695
522	2948	2688
523	2953	2682
524	2958	2676
525	2964	2671
526	2969	2665
527	2975	2659
528	2980	2654
529	2986	2648
530	2991	2642
531	2997	2636
532	3002	2630
533	3007	2624
534	3012	2618
535	3017	2612
536	3023	2606
537	3029	2601
538	3034	2595
539	3039	2589
540	3044	2582
541	3049	2576
542	3054	2570
543	3059	2564
544	3064	2558
545	3070	2553
546	3075	2547
547	3081	2541
548	3086	2535
549	3092	2529
550	3097	2524
551	3102	2517
552	3107	2511
553	3112	2505
554	3117	2499
555	3122	2493
556	3127	2487
557	3132	2481
558	3137	2475
559	3142	2469
560	3147	2463
561	3152	2457
562	3157	2450
563	3163	2445
564	3169	2440
565	3175	2434
566	3180	2428
567	3184	2422
568	3190	2416
569	3195	2410
570	3200	2404
571	3205	2398
572	3210	2392
573	3215	2386
574	3221	2380
575	3226	2375
576	3231	2369
577	3236	2363
578	3241	2357
579	3246	2351
580	3251	2345
581	3257	2339
582	3262	2333
583	3267	2327
584	3271	2321
585	3277	2315
586	3282	2309
587	3287	2303
588	3292	2297
589	3297	2291
590	3301	2285
591	3307	2279
592	3313	2273
593	3318	2267
594	3323	2262
595	3329	2256
596	3334	2250
597	3339	2245
598	3344	2239
599	3350	2233
600	3355	2227
601	3361	2222
602	3367	2216
603	3372	2211
604	3377	2205
605	3383	2199
606	3387	2193
607	3393	2187
608	3399	2182
609	3404	2176
610	3409	2170
611	3415	2165
612	3420	2159
613	3425	2153
614	3431	2147
615	3436	2142
616	3441	2136
617	3446	2130
618	3452	2124
619	3457	2118
620	3462	2113
621	3469	2108
622	3474	2102
623	3479	2096
624	3484	2090
625	3489	2085
626	3495	2079
627	3499	2073
628	3505	2067
629	3510	2061
630	3515	2055
631	3520	2049
632	3525	2044
633	3530	2038
634	3535	2032
635	3541	2026
636	3546	2020
637	3551	2015
638	3557	2009
639	3562	2004
640	3568	1998
641	3574	1993
642	3579	1987
643	3585	1981
644	3590	1976
645	3596	1970
646	3601	1964
647	3606	1959
648	3612	1953
649	3617	1947
650	3622	1941
651	3627	1936
652	3632	1930
653	3637	1924
654	3642	1918
655	3647	1912
656	3653	1907
657	3658	1901
658	3663	1895
659	3668	1889
660	3673	1883
661	3678	1878
662	3683	1872
663	3688	1866
664	3693	1860
665	3699	1855
666	3703	1849
667	3709	1843
668	3715	1838
669	3721	1832
670	3726	1827
671	3731	1821
672	3736	1815
673	3741	1809
674	3747	1804
675	3752	1798
676	3757	1792
677	3763	1787
678	3769	1781
679	3775	1776
680	3780	1770
681	3786	1765
682	3791	1759
683	3796	1753
684	3801	1748
685	3807	1742
686	3812	1736
687	3817	1731
688	3822	1725
689	3828	1719
690	3833	1714
691	3838	1708
692	3843	1702
693	3848	1697
694	3853	1691
695	3858	1685
696	3863	1679
697	3869	1674
698	3874	1668
699	3879	1662
700	3884	1656
701	3889	1651
702	3894	1645
703	3899	1639
704	3904	1633
705	3909	1628
706	3914	1622
707	3919	1616
708	3924	1610
709	3930	1605
710	3935	1599
711	3940	1593
712	3945	1588
713	3951	1582
714	3957	1577
715	3963	1572
716	3968	1566
717	3973	1560
718	3979	1555
719	3984	1549
720	3989	1543
721	3994	1538
722	3999	1532
723	4004	1526
724	4010	1521
725	4015	1515
726	4020	1509
727	4026	1504
728	4031	1498
729	4036	1492
730	4041	1487
731	4046	1481
732	4051	1475
733	4056	1469
734	4061	1464
735	4065	1458
736	4071	1452
737	4076	1447
738	4081	1441
739	4086	1435
740	4091	1430
741	4097	1424
742	4101	1418
743	4107	1413
744	4112	1407
745	4117	1402
746	4122	1396
747	4127	1390
748	4133	1385
749	4138	1379
750	4143	1373
751	4148	1368
752	4153	1362
753	4159	1357
754	4165	1351
755	4171	1346
756	4176	1340
757	4182	1335
758	4187	1329
759	4191	1323
760	4196	1318
761	4201	1312
762	4207	1306
763	4212	1301
764	4217	1295
765	4222	1289
766	4227	1284
767	4232	1278
768	4237	1273
769	4242	1267
770	4247	1261
771	4252	1256
772	4258	1250
773	4263	1244
774	4269	1239
775	4274	1233
776	4279	1228
777	4284	1222
778	4289	1216
779	4294	1211
780	4299	1205
781	4304	1199
782	4309	1194
783	4314	1188
784	4319	1183
785	4324	1177
786	4329	1171
787	4335	1166
788	4340	1160
789	4345	1155
790	4350	1149
791	4356	1144
792	4361	1138
793	4367	1133
794	4372	1127
795	4377	1121
796	4382	1116
797	4388	1110
798	4393	1105
799	4398	1099
800	4403	1094
801	4408	1088
802	4413	1082
803	4418	1077
804	4423	1071
805	4428	1065
806	4434	1060
807	4439	1054
808	4444	1049
809	4449	1043
810	4454	1038
811	4459	1032
812	4464	1026
813	4469	1021
814	4475	1015
815	4480	1010
816	4485	1004
817	4490	999
818	4495	993
819	4500	987
820	4505	982
821	4510	976
822	4516	971
823	4521	965
824	4526	960
825	4531	954
826	4536	949
827	4541	943
828	4548	938
829	4553	932
830	4559	927
831	4564	921
832	4569	916
833	4575	910
834	4581	905
835	4586	899
836	4591	894
837	4597	888
838	4602	883
839	4606	877
840	4612	871
841	4617	866
842	4622	860
843	4627	855
844	4632	849
845	4637	844
846	4642	838
847	4647	833
848	4653	827
849	4657	821
850	4662	816
851	4667	810
852	4672	805
853	4677	799
854	4683	794
855	4688	788
856	4693	783
857	4698	777
858	4703	772
859	4708	766
860	4713	760
861	4718	755
862	4724	750
863	4729	744
864	4734	738
865	4740	733
866	4745	727
867	4751	722
868	4757	717
869	4763	711
870	4769	706
871	4775	701
