iter	Passed	Remaining
0	96	96398
1	111	55740
2	127	42255
3	141	35198
4	156	31052
5	168	27939
6	184	26189
7	196	24375
8	208	22906
9	220	21783
10	231	20803
11	243	20050
12	256	19455
13	267	18815
14	278	18257
15	289	17825
16	300	17376
17	312	17026
18	322	16676
19	333	16351
20	344	16046
21	357	15898
22	369	15688
23	383	15601
24	396	15482
25	406	15239
26	418	15088
27	431	14991
28	442	14813
29	452	14643
30	463	14497
31	474	14364
32	485	14226
33	496	14105
34	506	13978
35	518	13875
36	529	13780
37	540	13690
38	551	13596
39	561	13472
40	572	13399
41	586	13368
42	596	13282
43	609	13249
44	620	13174
45	630	13079
46	643	13038
47	652	12947
48	664	12888
49	675	12826
50	686	12775
51	697	12715
52	706	12629
53	717	12562
54	726	12480
55	735	12400
56	743	12308
57	756	12280
58	766	12232
59	781	12241
60	792	12202
61	803	12160
62	815	12129
63	826	12090
64	838	12066
65	848	12007
66	856	11932
67	865	11863
68	876	11826
69	886	11780
70	897	11746
71	906	11686
72	918	11659
73	929	11633
74	940	11597
75	950	11559
76	962	11531
77	971	11483
78	995	11611
79	1009	11604
80	1021	11587
81	1031	11550
82	1043	11533
83	1055	11509
84	1065	11474
85	1076	11438
86	1086	11406
87	1097	11370
88	1108	11341
89	1118	11313
90	1127	11257
91	1138	11232
92	1148	11205
93	1158	11168
94	1168	11129
95	1178	11092
96	1188	11065
97	1199	11043
98	1220	11106
99	1233	11099
100	1246	11092
101	1261	11106
102	1274	11101
103	1290	11115
104	1301	11095
105	1313	11081
106	1327	11077
107	1342	11090
108	1353	11066
109	1363	11031
110	1373	11002
111	1386	10989
112	1395	10957
113	1407	10937
114	1414	10888
115	1426	10868
116	1436	10840
117	1445	10802
118	1453	10762
119	1464	10742
120	1474	10714
121	1484	10686
122	1496	10669
123	1507	10648
124	1519	10633
125	1527	10598
126	1536	10558
127	1547	10540
128	1559	10526
129	1568	10500
130	1577	10463
131	1586	10433
132	1597	10414
133	1611	10415
134	1622	10396
135	1633	10376
136	1644	10360
137	1655	10339
138	1665	10314
139	1675	10289
140	1684	10264
141	1693	10234
142	1704	10217
143	1715	10196
144	1724	10171
145	1733	10142
146	1744	10122
147	1754	10100
148	1766	10086
149	1777	10072
150	1786	10045
151	1797	10027
152	1806	9999
153	1821	10007
154	1833	9997
155	1845	9985
156	1856	9966
157	1868	9959
158	1880	9948
159	1890	9922
160	1899	9898
161	1912	9890
162	1920	9863
163	1929	9836
164	1940	9817
165	1950	9799
166	1958	9769
167	1967	9743
168	1977	9722
169	1986	9697
170	1999	9691
171	2006	9657
172	2017	9645
173	2030	9639
174	2043	9633
175	2053	9613
176	2062	9591
177	2071	9564
178	2081	9546
179	2092	9533
180	2105	9524
181	2115	9509
182	2123	9481
183	2134	9464
184	2144	9447
185	2156	9438
186	2166	9420
187	2176	9399
188	2186	9381
189	2195	9361
190	2208	9352
191	2220	9345
192	2231	9329
193	2243	9321
194	2253	9301
195	2263	9285
196	2275	9276
197	2284	9253
198	2292	9227
199	2302	9208
200	2311	9187
201	2320	9168
202	2329	9147
203	2338	9122
204	2348	9109
205	2357	9086
206	2371	9084
207	2378	9057
208	2385	9030
209	2395	9011
210	2402	8983
211	2412	8965
212	2422	8949
213	2432	8936
214	2444	8926
215	2455	8912
216	2464	8893
217	2473	8871
218	2481	8850
219	2489	8825
220	2502	8821
221	2510	8799
222	2521	8784
223	2531	8769
224	2541	8754
225	2552	8740
226	2561	8723
227	2571	8706
228	2582	8693
229	2593	8683
230	2605	8673
231	2614	8656
232	2624	8640
233	2634	8624
234	2648	8620
235	2659	8608
236	2670	8596
237	2679	8578
238	2690	8565
239	2701	8554
240	2713	8545
241	2721	8525
242	2731	8508
243	2743	8499
244	2753	8486
245	2763	8470
246	2771	8448
247	2781	8435
248	2791	8418
249	2802	8407
250	2814	8397
251	2825	8386
252	2836	8374
253	2849	8369
254	2858	8350
255	2863	8323
256	2875	8314
257	2884	8296
258	2896	8287
259	2900	8255
260	2910	8240
261	2920	8227
262	2931	8213
263	2941	8200
264	2950	8182
265	2960	8168
266	2970	8154
267	2981	8142
268	2992	8130
269	3000	8111
270	3009	8096
271	3018	8079
272	3028	8064
273	3040	8055
274	3055	8056
275	3066	8043
276	3078	8034
277	3088	8020
278	3097	8004
279	3105	7986
280	3116	7974
281	3126	7959
282	3136	7945
283	3148	7937
284	3159	7926
285	3169	7913
286	3179	7897
287	3188	7881
288	3201	7876
289	3213	7866
290	3221	7849
291	3232	7836
292	3244	7828
293	3255	7817
294	3268	7810
295	3278	7797
296	3289	7785
297	3298	7770
298	3309	7758
299	3320	7747
300	3332	7738
301	3342	7724
302	3352	7711
303	3364	7703
304	3375	7691
305	3385	7679
306	3396	7666
307	3406	7654
308	3414	7636
309	3425	7624
310	3436	7613
311	3448	7603
312	3460	7595
313	3471	7583
314	3482	7573
315	3491	7558
316	3502	7545
317	3513	7536
318	3519	7514
319	3531	7504
320	3541	7491
321	3553	7481
322	3564	7470
323	3572	7453
324	3583	7442
325	3594	7431
326	3603	7415
327	3612	7402
328	3621	7386
329	3631	7373
330	3642	7361
331	3650	7345
332	3662	7335
333	3671	7321
334	3682	7310
335	3694	7300
336	3702	7284
337	3713	7272
338	3723	7259
339	3727	7236
340	3739	7227
341	3749	7213
342	3759	7201
343	3770	7190
344	3782	7181
345	3793	7169
346	3801	7154
347	3811	7141
348	3823	7132
349	3832	7117
350	3843	7106
351	3853	7093
352	3872	7098
353	3886	7092
354	3898	7082
355	3909	7071
356	3919	7060
357	3930	7048
358	3940	7036
359	3950	7022
360	3961	7012
361	3971	7000
362	3981	6987
363	3992	6976
364	4004	6967
365	4015	6956
366	4028	6948
367	4036	6931
368	4045	6917
369	4057	6908
370	4066	6894
371	4075	6880
372	4082	6862
373	4092	6849
374	4103	6838
375	4112	6824
376	4122	6812
377	4134	6802
378	4144	6791
379	4156	6781
380	4167	6771
381	4177	6758
382	4190	6751
383	4202	6741
384	4212	6728
385	4222	6716
386	4233	6705
387	4244	6694
388	4256	6685
389	4268	6676
390	4280	6667
391	4290	6654
392	4300	6641
393	4312	6633
394	4321	6619
395	4328	6602
396	4338	6589
397	4348	6577
398	4357	6563
399	4366	6550
400	4375	6536
401	4386	6525
402	4393	6508
403	4402	6495
404	4414	6485
405	4425	6474
406	4435	6461
407	4442	6446
408	4453	6435
409	4463	6422
410	4473	6410
411	4483	6399
412	4492	6385
413	4503	6373
414	4515	6364
415	4524	6351
416	4533	6338
417	4544	6327
418	4553	6313
419	4563	6301
420	4575	6292
421	4580	6273
422	4591	6263
423	4602	6252
424	4611	6239
425	4621	6226
426	4632	6216
427	4643	6205
428	4653	6193
429	4664	6183
430	4675	6173
431	4686	6161
432	4696	6149
433	4708	6139
434	4717	6127
435	4728	6117
436	4739	6106
437	4750	6095
438	4761	6084
439	4769	6070
440	4781	6060
441	4791	6048
442	4799	6034
443	4811	6024
444	4818	6009
445	4831	6000
446	4841	5989
447	4850	5976
448	4863	5967
449	4872	5955
450	4881	5941
451	4890	5929
